milk_id,timestamp,storage_hours,current_temperature_c,avg_temperature_c,min_temperature_c,max_temperature_c,temperature_std_c,time_above_6c_hours,time_above_8c_hours,num_temperature_excursions,longest_excursion_hours,cumulative_temperature_exposure,temperature_trend,remaining_shelf_life_hours,safety_status
MILK_00000,2026-08-12T05:00:00,159,5.24,4.47,3.88,5.39,0.9,0,0,0,0,710.97,-1.0714,0.0,UNSAFE
MILK_00001,2026-08-02T16:00:00,121,22.0,23.95,20.12,23.24,1.14,44,16,1,13,2898.35,-0.6263,0.0,UNSAFE
MILK_00002,2026-08-24T13:00:00,34,2.45,2.0,1.75,2.95,0.13,0,0,0,0,68.05,1.3266,113.04,SAFE
MILK_00003,2026-08-12T13:00:00,3,1.3,1.48,0.63,2.43,2.28,0,0,0,0,4.44,-0.7237,148.8,SAFE
MILK_00004,2026-08-10T08:00:00,87,1.11,1.58,0.63,2.76,2.32,0,0,0,0,137.43,0.6818,0.67,SAFE
MILK_00005,2026-08-18T02:00:00,87,24.53,22.48,18.72,25.61,0.77,11,10,4,1,1956.1,0.1281,0.0,UNSAFE
MILK_00006,2026-08-06T23:00:00,1,10.27,6.92,5.77,12.58,1.66,1,1,2,1,6.92,1.2449,115.41,UNSAFE
MILK_00007,2026-08-20T23:00:00,99,2.35,2.24,1.37,3.7,1.45,0,0,0,0,221.27,0.8129,44.7,SAFE
MILK_00008,2026-08-16T16:00:00,72,0.86,0.39,0.0,1.38,1.77,0,0,0,0,27.9,-1.082,29.01,SAFE
MILK_00009,2026-08-17T04:00:00,34,23.8,22.17,18.3,25.56,1.62,27,15,1,24,753.74,1.1144,0.0,UNSAFE
MILK_00010,2026-08-27T21:00:00,54,1.25,1.18,0.3,2.42,0.5,0,0,0,0,63.68,0.1023,89.27,SAFE
MILK_00011,2026-08-21T18:00:00,45,1.06,0.77,0.31,1.66,2.43,0,0,0,0,34.84,1.3873,39.09,SAFE
MILK_00012,2026-08-15T22:00:00,51,0.62,0.73,0.58,1.54,0.93,0,0,0,0,37.3,0.4031,101.67,SAFE
