milk_id,scenario,timestamp,hour_of_day,day_of_week,is_weekend,storage_hours,storage_phase,current_temperature_c,avg_temperature_c,min_temperature_c,max_temperature_c,temperature_std_c,temp_last_1h,temp_last_3h,temp_last_6h,temp_volatility,time_above_6c_hours,time_above_8c_hours,time_in_danger_zone_pct,num_temperature_excursions,longest_excursion_hours,cumulative_temperature_exposure,temperature_trend,degradation_rate_per_hour,remaining_shelf_life_hours,is_safe,safety_label
MILK_00000,good_cold,2026-02-12T01:00:00,1,3,0,337,late,6.13,4.62,1.31,8.55,1.19,6.13,4.59,5.06,0.9314,41,1,0.3,1,1,1560.53,-0.1012,1.0825,0.0,0,UNSAFE
MILK_00001,ideal_cold,2026-03-28T12:00:00,12,5,1,389,late,4.41,3.99,2.92,5.23,0.4,4.41,4.49,4.36,0.1804,0,0,0.0,0,0,1557.26,0.0997,1.0028,0.0,1,SAFE
MILK_00002,ideal_cold,2026-02-11T03:00:00,3,2,0,124,mid,3.3,3.96,3.01,4.94,0.4,3.3,3.67,3.98,0.3861,0,0,0.0,0,0,495.1,-0.2225,1.0047,211.42,1,SAFE
MILK_00003,good_cold,2026-06-26T13:00:00,13,4,0,62,fresh,3.9,4.85,1.86,7.53,1.14,3.9,3.6,4.02,1.5706,9,0,0.0,0,0,305.84,-0.3454,1.1248,266.26,1,SAFE
MILK_00004,chronic_mild_abuse,2026-02-04T19:00:00,19,2,0,289,late,8.3,7.06,5.2,9.37,0.77,8.3,7.88,7.36,0.6559,267,28,9.69,28,1,2046.07,0.5036,1.4087,0.0,0,UNSAFE
MILK_00005,short_excursion,2026-01-18T10:00:00,10,6,1,226,mid,4.38,4.16,2.7,16.02,1.2,4.38,3.93,4.34,0.6741,3,3,1.33,1,3,944.88,-0.1669,1.035,102.1,1,SAFE
MILK_00006,long_excursion,2026-05-16T04:00:00,4,5,1,129,mid,4.51,4.96,2.56,22.17,3.76,4.51,4.2,3.99,0.3036,9,9,6.98,1,9,644.9,0.149,1.2883,169.8,1,SAFE
MILK_00007,ideal_cold,2026-06-21T13:00:00,13,6,1,111,mid,4.05,4.05,2.83,5.28,0.41,4.05,3.95,3.97,0.2913,0,0,0.0,0,0,453.74,-0.0717,1.0157,223.26,1,SAFE
MILK_00008,good_cold,2026-04-30T08:00:00,8,3,0,289,late,4.28,4.5,1.6,7.78,1.24,4.28,5.01,4.74,0.7808,27,0,0.0,0,0,1306.17,0.0949,1.0704,26.64,1,SAFE
MILK_00009,ideal_cold,2026-06-10T07:00:00,7,2,0,239,late,3.92,3.99,2.79,5.1,0.39,3.92,3.68,3.85,0.4269,0,0,0.0,0,0,956.49,-0.2019,1.0035,96.16,1,SAFE
MILK_00010,chronic_mild_abuse,2026-02-11T11:00:00,11,2,0,13,fresh,6.62,6.76,4.22,8.01,0.9,6.62,7.11,7.21,0.4899,12,1,7.69,1,1,94.65,-0.1646,1.4654,316.95,1,SAFE
MILK_00011,chronic_mild_abuse,2026-04-07T18:00:00,18,1,0,226,late,5.46,7.03,5.28,9.49,0.75,5.46,6.48,6.73,0.6694,205,19,8.41,14,2,1594.99,-0.4117,1.4053,18.39,0,UNSAFE
MILK_00012,ideal_cold,2026-03-01T03:00:00,3,6,1,89,fresh,4.34,3.95,2.93,4.89,0.4,4.34,4.09,4.13,0.4293,0,0,0.0,0,0,355.09,0.0033,1.0062,246.45,1,SAFE
MILK_00013,ideal_cold,2026-01-27T02:00:00,2,1,0,62,fresh,4.72,4.06,3.1,4.72,0.37,4.72,4.16,4.23,0.3528,0,0,0.0,0,0,255.65,0.1078,1.0235,272.55,1,SAFE
MILK_00014,good_cold,2026-04-04T22:00:00,22,5,1,59,fresh,6.1,4.47,2.33,6.22,1.0,6.1,4.83,4.31,1.3511,2,0,0.0,0,0,268.14,0.7614,1.0772,272.45,1,SAFE
MILK_00015,ideal_cold,2026-03-22T08:00:00,8,6,1,319,late,3.82,4.0,2.8,5.57,0.41,3.82,3.36,3.62,0.4734,0,0,0.0,0,0,1278.95,-0.1442,1.0038,15.79,1,SAFE
MILK_00016,good_cold,2026-05-14T16:00:00,16,3,0,383,late,4.44,4.52,1.3,7.82,1.2,4.44,5.09,4.45,0.9113,47,0,0.0,0,0,1736.86,0.1879,1.0713,0.0,1,SAFE
MILK_00017,long_excursion,2026-04-10T03:00:00,3,4,0,73,mid,4.03,7.42,2.54,24.82,6.46,4.03,3.98,3.94,0.095,17,17,23.29,1,17,549.14,0.0576,2.0446,186.75,1,SAFE
MILK_00018,good_cold,2026-06-22T06:00:00,6,0,0,331,late,6.24,4.44,1.23,7.67,1.19,6.24,4.51,3.98,1.3883,31,0,0.0,0,0,1474.54,0.2263,1.0619,0.0,0,UNSAFE
MILK_00019,chronic_mild_abuse,2026-03-04T15:00:00,15,2,0,305,late,8.3,6.96,4.73,9.52,0.8,8.3,7.44,7.3,0.9549,268,30,9.84,27,3,2131.17,0.0171,1.3949,0.0,0,UNSAFE
MILK_00020,good_cold,2026-01-14T18:00:00,18,2,0,45,fresh,4.32,4.23,1.24,6.54,1.26,4.32,3.99,3.92,0.3652,5,0,0.0,0,0,194.8,0.1776,1.0588,288.35,1,SAFE
MILK_00021,good_cold,2026-03-21T08:00:00,8,5,1,126,mid,4.65,4.34,0.89,7.32,1.3,4.65,3.52,3.91,1.1717,13,0,0.0,0,0,551.14,-0.1911,1.0569,202.83,1,SAFE
MILK_00022,good_cold,2026-01-31T21:00:00,21,5,1,129,mid,4.41,4.54,1.51,7.23,1.14,4.41,4.53,4.75,0.7627,12,0,0.0,0,0,589.99,-0.1632,1.0775,197.0,1,SAFE
MILK_00023,chronic_mild_abuse,2026-05-04T04:00:00,4,0,0,152,mid,7.82,7.04,5.26,8.66,0.72,7.82,7.54,7.24,0.614,142,12,7.89,11,2,1077.14,0.1971,1.4102,121.66,1,SAFE
